Date,Confirmed cases,Deaths,Recovered,Daily New Cases,Daily Deaths,Active Cases,Open,High,Low,Close,Adj Close,Volume
2020-02-14,14,0,3,0,0,11,3378.080078125,3380.68994140625,3366.14990234375,3380.159912109375,3380.159912109375,3419700000
2020-02-18,14,0,3,0,0,11,3369.0400390625,3375.010009765625,3355.610107421875,3370.2900390625,3370.2900390625,3750400000
2020-02-19,14,0,3,0,0,11,3380.389892578125,3393.52001953125,3378.830078125,3386.14990234375,3386.14990234375,3614200000
2020-02-20,14,0,3,0,0,11,3380.449951171875,3389.14990234375,3341.02001953125,3373.22998046875,3373.22998046875,4019180000
2020-02-21,16,0,5,2,0,11,3360.5,3360.760009765625,3328.449951171875,3337.75,3337.75,3908780000
2020-02-24,16,0,5,0,0,11,3257.610107421875,3259.81005859375,3214.64990234375,3225.889892578125,3225.889892578125,4851160000
2020-02-25,16,0,6,0,0,10,3238.93994140625,3246.989990234375,3118.77001953125,3128.2099609375,3128.2099609375,5596760000
2020-02-26,16,0,6,0,0,10,3139.89990234375,3182.510009765625,3108.989990234375,3116.389892578125,3116.389892578125,5484650000
2020-02-27,17,0,6,1,0,11,3062.5400390625,3097.070068359375,2977.389892578125,2978.760009765625,2978.760009765625,7064710000
2020-02-28,17,0,7,0,0,10,2916.89990234375,2959.719970703125,2855.840087890625,2954.219970703125,2954.219970703125,8569570000
2020-03-02,55,6,7,23,5,42,2974.280029296875,3090.9599609375,2945.18994140625,3090.22998046875,3090.22998046875,6381330000
2020-03-03,74,7,7,19,1,60,3096.4599609375,3136.719970703125,2976.6298828125,3003.3701171875,3003.3701171875,6376510000
2020-03-04,107,11,7,33,4,89,3045.75,3130.969970703125,3034.3798828125,3130.1201171875,3130.1201171875,5073020000
2020-03-05,184,12,7,77,1,165,3075.699951171875,3083.0400390625,2999.830078125,3023.93994140625,3023.93994140625,5579290000
2020-03-06,237,14,7,53,2,216,2954.199951171875,2985.929931640625,2901.5400390625,2972.3701171875,2972.3701171875,6555240000
2020-03-09,594,22,7,75,1,565,2863.889892578125,2863.889892578125,2734.429931640625,2746.56005859375,2746.56005859375,8441290000
2020-03-10,782,28,8,188,6,746,2813.47998046875,2882.590087890625,2734.0,2882.22998046875,2882.22998046875,7642040000
2020-03-11,1147,33,8,365,5,1106,2825.60009765625,2825.60009765625,2707.219970703125,2741.3798828125,2741.3798828125,7431200000
2020-03-12,1586,43,12,439,10,1531,2630.860107421875,2660.949951171875,2478.860107421875,2480.639892578125,2480.639892578125,8850810000
2020-03-13,2219,51,12,633,8,2156,2569.989990234375,2711.330078125,2492.3701171875,2711.02001953125,2711.02001953125,8299070000
2020-03-16,4679,97,17,1467,27,4565,2508.590087890625,2562.97998046875,2380.93994140625,2386.1298828125,2386.1298828125,7805450000
2020-03-17,6512,134,17,1833,37,6361,2425.659912109375,2553.929931640625,2367.0400390625,2529.18994140625,2529.18994140625,8370250000
2020-03-18,9169,194,105,2657,60,8870,2436.5,2453.570068359375,2280.52001953125,2398.10009765625,2398.10009765625,8799300000
2020-03-19,13663,266,121,4494,72,13276,2393.47998046875,2466.969970703125,2319.780029296875,2409.389892578125,2409.389892578125,7956100000
2020-03-20,20030,372,147,6367,106,19511,2431.93994140625,2453.010009765625,2295.56005859375,2304.919921875,2304.919921875,9053950000
2020-03-23,46096,790,178,11152,187,45128,2290.7099609375,2300.72998046875,2191.860107421875,2237.39990234375,2237.39990234375,7411380000
2020-03-24,56714,1033,348,10618,243,55333,2344.43994140625,2449.7099609375,2344.43994140625,2447.330078125,2447.330078125,7563150000
2020-03-25,68841,1366,361,12127,333,67114,2457.77001953125,2571.419921875,2407.530029296875,2475.56005859375,2475.56005859375,8300010000
2020-03-26,86662,1783,681,17821,417,84198,2501.2900390625,2637.010009765625,2500.719970703125,2630.070068359375,2630.070068359375,7766990000
2020-03-27,105253,2305,869,18591,522,102079,2555.8701171875,2615.909912109375,2520.02001953125,2541.469970703125,2541.469970703125,6201670000
2020-03-30,165698,4280,5644,22154,707,155774,2558.97998046875,2631.800048828125,2545.280029296875,2626.64990234375,2626.64990234375,5751120000
2020-03-31,192079,5359,7024,26381,1079,179696,2614.68994140625,2641.389892578125,2571.14990234375,2584.590087890625,2584.590087890625,6576210000
2020-04-01,227903,6996,8474,35824,1637,212433,2498.080078125,2522.75,2447.489990234375,2470.5,2470.5,5964000000
2020-04-02,260183,8556,9001,32280,1560,242626,2458.5400390625,2533.219970703125,2455.7900390625,2526.89990234375,2526.89990234375,6464190000
2020-04-03,292630,9985,9707,32447,1429,272938,2514.919921875,2538.179931640625,2459.9599609375,2488.64990234375,2488.64990234375,6096970000
2020-04-06,385110,14989,19581,31993,1762,350540,2578.280029296875,2676.85009765625,2574.570068359375,2663.679931640625,2663.679931640625,6403840000
2020-04-07,415256,17595,21763,30146,2606,375898,2738.64990234375,2756.889892578125,2657.669921875,2659.409912109375,2659.409912109375,7050410000
2020-04-08,446500,19747,23559,31244,2152,403194,2685.0,2760.75,2663.300048828125,2749.97998046875,2749.97998046875,5875710000
2020-04-09,482526,22003,25410,36026,2256,435113,2776.989990234375,2818.570068359375,2762.360107421875,2789.820068359375,2789.820068359375,7899550000
2020-04-13,598794,30204,43482,27243,2001,525108,2782.4599609375,2782.4599609375,2721.169921875,2761.6298828125,2761.6298828125,5319530000
2020-04-14,627306,32685,47763,28512,2481,546858,2805.10009765625,2851.85009765625,2805.10009765625,2846.06005859375,2846.06005859375,5615730000
2020-04-15,653669,35309,52096,26363,2624,566264,2795.639892578125,2801.8798828125,2761.5400390625,2783.360107421875,2783.360107421875,5208000000
2020-04-16,683351,37496,54703,29682,2187,591152,2799.340087890625,2806.510009765625,2764.320068359375,2799.550048828125,2799.550048828125,5228810000
2020-04-17,716508,39600,58545,33157,2104,618363,2842.429931640625,2879.219970703125,2830.8798828125,2874.56005859375,2874.56005859375,5804810000
2020-04-20,799531,45795,72329,30643,2285,681407,2845.6201171875,2868.97998046875,2820.429931640625,2823.159912109375,2823.159912109375,5228630000
2020-04-21,825478,48246,75204,25947,2451,702028,2784.81005859375,2785.5400390625,2727.10009765625,2736.56005859375,2736.56005859375,5121010000
2020-04-22,855445,50712,77366,29967,2466,727367,2787.889892578125,2815.10009765625,2775.949951171875,2799.31005859375,2799.31005859375,5084920000
2020-04-23,887523,53138,80203,32078,2426,754182,2810.419921875,2844.89990234375,2794.260009765625,2797.800048828125,2797.800048828125,5773530000
2020-04-24,919014,55201,99079,31491,2063,764734,2812.639892578125,2842.7099609375,2791.760009765625,2836.739990234375,2836.739990234375,5382810000
2020-04-27,1000230,59840,111424,24693,1486,828966,2854.64990234375,2887.719970703125,2852.889892578125,2878.47998046875,2878.47998046875,5203930000
2020-04-28,1024834,62074,115936,24604,2234,846824,2909.9599609375,2921.14990234375,2860.7099609375,2863.389892578125,2863.389892578125,5691160000
2020-04-29,1051643,64448,120720,26809,2374,866475,2918.4599609375,2954.860107421875,2912.159912109375,2939.510009765625,2939.510009765625,6645640000
2020-04-30,1081150,66638,153947,29507,2190,860565,2930.909912109375,2930.909912109375,2892.469970703125,2912.429931640625,2912.429931640625,6544980000
2020-05-01,1115972,68518,164015,34822,1880,883439,2869.090087890625,2869.090087890625,2821.610107421875,2830.7099609375,2830.7099609375,4759810000
2020-05-04,1190240,72862,187180,24051,1370,930198,2815.010009765625,2844.239990234375,2797.85009765625,2842.739990234375,2842.739990234375,4735930000
2020-05-05,1214321,75041,189791,24081,2179,949489,2868.8798828125,2898.22998046875,2863.550048828125,2868.43994140625,2868.43994140625,5140290000
2020-05-06,1238694,77359,189910,24373,2318,971425,2883.139892578125,2891.110107421875,2847.64990234375,2848.419921875,2848.419921875,4892570000
2020-05-07,1266904,79262,195036,28210,1903,992606,2878.260009765625,2901.919921875,2876.47998046875,2881.18994140625,2881.18994140625,5178790000
2020-05-08,1294111,81033,198993,27207,1771,1014085,2908.830078125,2932.159912109375,2902.8798828125,2929.800048828125,2929.800048828125,4876030000
2020-05-11,1356283,84531,232733,19222,1026,1039019,2915.4599609375,2944.25,2903.43994140625,2930.18994140625,2930.18994140625,4819730000
2020-05-12,1379661,86119,230287,23378,1588,1063255,2939.5,2945.820068359375,2869.590087890625,2870.1201171875,2870.1201171875,5119630000
2020-05-13,1399662,87814,243430,20001,1695,1068418,2865.860107421875,2874.139892578125,2793.14990234375,2820.0,2820.0,6151650000
2020-05-14,1425539,89581,246414,25877,1767,1089544,2794.5400390625,2852.800048828125,2766.639892578125,2852.5,2852.5,5651130000
2020-05-15,1449938,91205,250747,24399,1624,1107986,2829.949951171875,2865.010009765625,2816.780029296875,2863.699951171875,2863.699951171875,5507700000
2020-05-18,1514833,94413,283178,22384,1222,1137242,2913.860107421875,2968.090087890625,2913.860107421875,2953.909912109375,2953.909912109375,6373670000
2020-05-19,1535591,95840,289392,20758,1427,1150359,2948.590087890625,2964.2099609375,2922.35009765625,2922.93994140625,2922.93994140625,4984330000
2020-05-20,1558430,97310,294312,22839,1470,1166808,2953.6298828125,2980.2900390625,2953.6298828125,2971.610107421875,2971.610107421875,5005380000
2020-05-21,1583542,98491,298418,25112,1181,1186633,2969.949951171875,2978.5,2938.570068359375,2948.510009765625,2948.510009765625,4976620000
2020-05-22,1607464,99695,350135,23922,1204,1157634,2948.050048828125,2956.760009765625,2933.590087890625,2955.449951171875,2955.449951171875,3970860000
2020-05-26,1685395,102664,384902,18696,654,1197829,3004.080078125,3021.719970703125,2988.169921875,2991.77001953125,2991.77001953125,5848500000
2020-05-27,1704200,104116,391508,18805,1452,1208576,3015.64990234375,3036.25,2969.75,3036.1298828125,3036.1298828125,6398000000
2020-05-28,1725329,105181,399991,21129,1065,1220157,3046.610107421875,3068.669921875,3023.39990234375,3029.72998046875,3029.72998046875,5447020000
2020-05-29,1750066,106290,406446,24737,1109,1237330,3025.169921875,3049.169921875,2998.610107421875,3044.31005859375,3044.31005859375,7297550000
2020-06-01,1809384,108624,458231,17837,767,1242529,3038.780029296875,3062.179931640625,3031.5400390625,3055.72998046875,3055.72998046875,4684170000
2020-06-02,1829340,109603,463868,19956,979,1255869,3064.780029296875,3081.070068359375,3051.639892578125,3080.820068359375,3080.820068359375,5197150000
2020-06-03,1848388,110603,479258,19048,1000,1258527,3098.89990234375,3130.93994140625,3098.89990234375,3122.8701171875,3122.8701171875,6005560000
2020-06-04,1876099,111601,485002,27711,998,1279496,3111.56005859375,3128.909912109375,3090.409912109375,3112.35009765625,3112.35009765625,6451290000
2020-06-05,1902280,112471,491706,26181,870,1298103,3163.840087890625,3211.719970703125,3163.840087890625,3193.929931640625,3193.929931640625,8639300000
2020-06-08,1957154,114071,518522,16912,502,1324561,3199.919921875,3233.1298828125,3196.0,3232.389892578125,3232.389892578125,8498300000
2020-06-09,1977478,114980,524855,20324,909,1337643,3213.320068359375,3222.7099609375,3193.110107421875,3207.179931640625,3207.179931640625,6410930000
2020-06-10,1999224,115836,533504,21746,856,1349884,3213.419921875,3223.27001953125,3181.489990234375,3190.139892578125,3190.139892578125,6598870000
2020-06-11,2021527,116644,540292,22303,808,1364591,3123.530029296875,3123.530029296875,2999.489990234375,3002.10009765625,3002.10009765625,7037320000
2020-06-12,2047082,117466,547386,25555,822,1382230,3071.0400390625,3088.419921875,2984.469970703125,3041.31005859375,3041.31005859375,5845330000
2020-06-15,2111266,118920,576334,21095,398,1416012,2993.760009765625,3079.760009765625,2965.659912109375,3066.590087890625,3066.590087890625,5757480000
2020-06-16,2135894,119695,583503,24628,775,1432696,3131.0,3153.449951171875,3076.06005859375,3124.739990234375,3124.739990234375,5845810000
2020-06-17,2162973,120436,592191,27079,741,1450346,3136.1298828125,3141.159912109375,3108.030029296875,3113.489990234375,3113.489990234375,4560450000
2020-06-18,2191211,121132,599115,28238,696,1470964,3101.639892578125,3120.0,3093.510009765625,3115.340087890625,3115.340087890625,4448690000
2020-06-19,2222207,121760,606715,30996,628,1493732,3140.2900390625,3155.530029296875,3083.110107421875,3097.739990234375,3097.739990234375,8346650000
2020-06-22,2309921,123021,640198,29989,379,1546702,3094.419921875,3120.919921875,3079.389892578125,3117.860107421875,3117.860107421875,4686690000
